something,version,open_issues,closed_issues,delta ,delta_ratio
0,4.0.1,28.0,50.0,22.0,28.205128205128204
1,4.0.3,33.0,28.0,-5.0,-8.19672131147541
2,4.1,2.0,4.0,2.0,33.33333333333333
3,4.1.1,6.0,164.0,158.0,92.94117647058823
4,4.1.2,5.0,55.0,50.0,83.33333333333334
5,4.1.3,30.0,48.0,18.0,23.076923076923077
6,4.2,1.0,1.0,0.0,0.0
7,4.2-alpha1,2.0,37.0,35.0,89.74358974358975
8,4.2-beta1,3.0,1.0,-2.0,-50.0
9,4.2.1,51.0,854.0,803.0,88.7292817679558
10,4.2.2,1.0,2.0,1.0,33.33333333333333
11,4.2.3,16.0,47.0,31.0,49.2063492063492
12,4.2.4,7.0,30.0,23.0,62.16216216216216
13,4.2.5,1180.0,3280.0,2100.0,47.08520179372198
14,4.3-alpha1,18.0,16.0,-2.0,-5.88235294117647
15,4.3.1,2.0,11.0,9.0,69.23076923076923
16,4.3.2,2.0,4.0,2.0,33.33333333333333
17,4.3.3,13.0,100.0,87.0,76.99115044247787
18,4.3.4,36.0,68.0,32.0,30.76923076923077
19,4.3.5,2.0,30.0,28.0,87.5
20,4.3.6,34.0,286.0,252.0,78.75
21,4.4,1.0,2.0,1.0,33.33333333333333
22,4.5,6.0,518.0,512.0,97.70992366412213
23,4.5.1,19.0,64.0,45.0,54.21686746987952
24,4.5.10,24.0,412.0,388.0,88.9908256880734
25,4.5.11,15.0,210.0,195.0,86.66666666666667
26,4.5.12,37.0,488.0,451.0,85.90476190476191
27,4.5.2,950.0,3070.0,2120.0,52.736318407960205
28,4.5.3,27.0,101.0,74.0,57.8125
29,4.5.5,10.0,35.0,25.0,55.55555555555556
30,4.5.6,12.0,159.0,147.0,85.96491228070175
31,4.5.7,5.0,80.0,75.0,88.23529411764706
32,4.5.8,10.0,196.0,186.0,90.29126213592234
33,4.5.9,10.0,468.0,458.0,95.81589958158996
34,@httpclient.version@,7.0,126.0,119.0,89.47368421052632
