something,version,open_issues,closed_issues,delta ,delta_ratio
1,10.0.1,23.0,129.0,106.0,69.73684210526315
2,11.0.1,3.0,10.0,7.0,53.84615384615385
3,11.0.2,14.0,30.0,16.0,36.36363636363637
4,12.0,40.0,189.0,149.0,65.06550218340611
5,12.0.1,21.0,43.0,22.0,34.375
6,13.0,7.0,15.0,8.0,36.36363636363637
7,13.0.1,61.0,101.0,40.0,24.691358024691358
8,14.0,31.0,36.0,5.0,7.462686567164178
9,14.0-rc3,3.0,9.0,6.0,50.0
10,14.0.1,266.0,1162.0,896.0,62.745098039215684
11,15.0,37.0,326.0,289.0,79.61432506887053
12,16.0,3.0,9.0,6.0,50.0
13,16.0.1,12.0,50.0,38.0,61.29032258064516
14,17.0,72.0,197.0,125.0,46.468401486988846
15,18.0,33.0,244.0,211.0,76.17328519855594
16,19.0,74.0,445.0,371.0,71.48362235067437
17,19.0-rc2,6.0,28.0,22.0,64.70588235294117
18,20.0,15.0,128.0,113.0,79.02097902097903
19,20.0-SNAPSHOT,10.0,15.0,5.0,20.0
20,21.0,7.0,42.0,35.0,71.42857142857143
21,22.0,24.0,96.0,72.0,60.0
22,23.0,1.0,17.0,16.0,88.88888888888889
23,23.5-jre,17.0,131.0,114.0,77.02702702702703
24,24.1-jre,9.0,31.0,22.0,55.00000000000001
25,27.0-jre,3.0,54.0,51.0,89.47368421052632
26,27.0.1-jre,44.0,367.0,323.0,78.58880778588808
27,27.1-jre,2.0,5.0,3.0,42.857142857142854
28,28.0-android,5.0,33.0,28.0,73.68421052631578
29,28.0-jre,20.0,1190.0,1170.0,96.69421487603306
30,28.1-jre,37.0,914.0,877.0,92.21871713985279
31,28.2-jre,17.0,478.0,461.0,93.13131313131314
32,r07,3.0,5.0,2.0,25.0
33,r08,10.0,15.0,5.0,20.0
34,r09,22.0,36.0,14.0,24.137931034482758
