something,version,open_issues,closed_issues,delta ,delta_ratio
0,1.2.12,20.0,76.0,56.0,58.333333333333336
1,1.2.13,6.0,60.0,54.0,81.81818181818183
2,1.2.14,64.0,86.0,22.0,14.666666666666666
3,1.2.15,124.0,278.0,154.0,38.308457711442784
4,1.2.16,2784.0,8814.0,6030.0,51.991722710812205
5,1.2.17,191.0,581.0,390.0,50.51813471502591
6,1.2.4,73.0,72.0,-1.0,-0.6896551724137931
7,1.2.9,10.0,42.0,32.0,61.53846153846154
8,2.0-beta1,5.0,12.0,7.0,41.17647058823529
9,2.0-beta8,8.0,32.0,24.0,60.0
10,2.0-beta9,2.0,4.0,2.0,33.33333333333333
11,2.10.0,3.0,47.0,44.0,88.0
12,2.11.0,3.0,52.0,49.0,89.0909090909091
13,2.11.1,4.0,24.0,20.0,71.42857142857143
14,2.11.2,2.0,20.0,18.0,81.81818181818183
15,2.12.0,2.0,55.0,53.0,92.98245614035088
16,2.13.0,5.0,13.0,8.0,44.44444444444444
17,2.13.1,6.0,107.0,101.0,89.38053097345133
18,2.13.2,6.0,85.0,79.0,86.81318681318682
