something,version,open_issues,closed_issues,delta ,delta_ratio
0,1.4.3,8.0,21.0,13.0,44.827586206896555
1,1.5.5,2.0,12.0,10.0,71.42857142857143
2,1.5.6,10.0,34.0,24.0,54.54545454545454
3,1.5.8,4.0,16.0,12.0,60.0
4,1.6.1,73.0,450.0,377.0,72.08413001912047
5,1.6.2,19.0,20.0,1.0,2.564102564102564
6,1.6.3,16.0,8.0,-8.0,-33.33333333333333
7,1.6.4,50.0,129.0,79.0,44.134078212290504
8,1.6.5,17.0,209.0,192.0,84.95575221238938
9,1.6.6,24.0,75.0,51.0,51.515151515151516
10,1.7.1,61.0,63.0,2.0,1.6129032258064515
11,1.7.10,24.0,149.0,125.0,72.25433526011561
12,1.7.12,25.0,38.0,13.0,20.634920634920633
13,1.7.13,3.0,53.0,50.0,89.28571428571429
14,1.7.2,31.0,126.0,95.0,60.509554140127385
15,1.7.21,8.0,30.0,22.0,57.89473684210527
16,1.7.22,12.0,151.0,139.0,85.2760736196319
17,1.7.24,1.0,3.0,2.0,50.0
18,1.7.25,19.0,101.0,82.0,68.33333333333333
19,1.7.29,7.0,54.0,47.0,77.04918032786885
20,1.7.3,36.0,24.0,-12.0,-20.0
21,1.7.30,3.0,116.0,113.0,94.9579831932773
22,1.7.4,4.0,10.0,6.0,42.857142857142854
23,1.7.5,191.0,539.0,348.0,47.671232876712324
24,1.7.6,77.0,545.0,468.0,75.2411575562701
25,1.7.7,13.0,118.0,105.0,80.1526717557252
