something,version,open_issues,closed_issues,delta ,delta_ratio
0,3.0,20.0,150.0,130.0,76.47058823529412
1,3.0.1,24.0,144.0,120.0,71.42857142857143
2,3.1,278.0,952.0,674.0,54.796747967479675
3,3.10,72.0,816.0,744.0,83.78378378378379
4,3.2.1,1.0,5.0,4.0,66.66666666666666
5,3.3.1,4.0,2.0,-2.0,-33.33333333333333
6,3.3.2,10.0,28.0,18.0,47.368421052631575
7,3.4,164.0,911.0,747.0,69.48837209302326
8,3.5,36.0,140.0,104.0,59.09090909090909
9,3.6,8.0,409.0,401.0,96.1630695443645
10,3.7,147.0,1050.0,903.0,75.43859649122807
11,3.8.1,14.0,130.0,116.0,80.55555555555556
12,3.9,58.0,1961.0,1903.0,94.2545814759782
