library,version,sign,date
barchart-util-value,[1-SNAPSHOT,2-SNAPSHOT),+,2013-11-15
barchart-util-value,[1.0.5-SNAPSHOT,2-SNAPSHOT),-,2014-04-30
barchart-util-value,[1-SNAPSHOT,2-SNAPSHOT),-,2013-11-27
barchart-util-value,[1-SNAPSHOT,2-SNAPSHOT),-,2013-12-18
barchart-util-value,[1-SNAPSHOT,2-SNAPSHOT),+,2013-10-30
barchart-util-common,[1-SNAPSHOT,2-SNAPSHOT),+,2015-08-12
barchart-util-common,[1-SNAPSHOT,2-SNAPSHOT),-,2015-08-12
barchart-util-common,[1-SNAPSHOT,2-SNAPSHOT),-,2014-04-30
barchart-util-common,[1-SNAPSHOT,2-SNAPSHOT),+,2013-12-02
joda-time,[2.3,2.4-SNAPSHOT),+,2015-08-12
rxjava-core,[0.14-SNAPSHOT,0.15-SNAPSHOT),-,2013-11-27
rxjava-core,[0.14-SNAPSHOT,0.15-SNAPSHOT),+,2013-11-08
rxjava-core,[0.14-SNAPSHOT,1.0-SNAPSHOT),-,2013-11-27
rxjava-core,[0.14-SNAPSHOT,1.0-SNAPSHOT),-,2013-11-26
rxjava-core,[0.14-SNAPSHOT,0.15-SNAPSHOT),+,2013-11-15
rxjava-core,[0.14-SNAPSHOT,0.15-SNAPSHOT),-,2014-04-30
rxjava-core,[0.14-SNAPSHOT,0.15-SNAPSHOT),-,2013-11-22
