library,version,sign,date
barchart-feed-api,[2.2.3-SNAPSHOT,3-SNAPSHOT),-,2014-04-25
barchart-feed-api,[2.3,2.4-SNAPSHOT),+,2014-09-25
openfeed,[2.1.6-SNAPSHOT,3-SNAPSHOT),-,2015-03-27
openfeed,[2.1-SNAPSHOT, 3-SNAPSHOT),-,2014-12-11
openfeed,[2-SNAPSHOT, 3-SNAPSHOT),-,2014-04-25
openfeed,[2.1.6-SNAPSHOT,2.2-SNAPSHOT),-,2014-09-30
openfeed,[2.2-SNAPSHOT, 2.3-SNAPSHOT),-,2015-01-09
openfeed,[2-SNAPSHOT, 3-SNAPSHOT),-,2014-09-30
openfeed,[2.1-SNAPSHOT, 2.2-SNAPSHOT),-,2014-12-12
openfeed,[2.1.4, 3-SNAPSHOT),-,2015-03-27
openfeed,[2.1.6-SNAPSHOT,2.2-SNAPSHOT),+,2014-09-25
openfeed,[2.1.4, 2.2-SNAPSHOT),-,2014-09-30
openfeed,[2.1.4, 2.2-SNAPSHOT),+,2014-07-30
