library,version,sign,date
mockito-all,1.9.5,-,2016-07-06
mockito-all,1.9.5,+,2012-12-05
mockito-all,1.9.5,-,2016-09-02
mockito-all,1.9.0,-,2012-08-20
junit,[4.8.2,5.0),+,2012-12-05
junit,4.8.2,-,2016-09-02
junit,[4.11,5.0),-,2016-07-06
junit,4.11,-,2016-09-02
junit,[4.11,5.0),+,2012-12-05
junit,4.11,-,2016-07-06
junit,[4.8.2,5.0),-,2016-07-06
junit,4.11,+,2012-12-05
junit,4.8.2,-,2012-11-27
logback-classic,[1.0.3,2.0.0),+,2012-08-20
logback-classic,[1.0.3,2.0.0),-,2012-08-20
logback-classic,[1.0.3,2.0.0),+,2012-12-05
logback-classic,[1.0.7,2.0.0),+,2012-12-05
logback-classic,[1.0.3,2.0.0),-,2012-11-08
logback-classic,[1.0.7,2.0.0),-,2016-07-06
logback-classic,[1.0.3,2.0.0),-,2016-09-02
logback-classic,[1.0.3,2.0.0),-,2016-07-06
commons-seri,1.0.3,-,2012-08-20
commons-seri,[1.0.5,2.0.0),-,2012-12-05
commons-seri,1.0.5,-,2012-11-08
commons-seri,[2.0.0,3.0.0),-,2016-07-06
commons-seri,[2.0.0,3.0.0),-,2016-09-02
