library,version,sign,date
mockito-all,1.9.5,-,2016-05-26
mockito-all,1.9.5,+,2012-12-17
junit,[4.8.2,5.0),+,2012-12-17
junit,[4.11,5.0),+,2012-12-17
junit,4.11,-,2016-05-26
junit,[4.8.2,5.0),-,2016-05-26
junit,4.11,+,2012-12-17
junit,4.8.2,-,2016-05-26
junit,[4.11,5.0),-,2016-05-26
logback-classic,[1.0.7,2.0.0),+,2012-12-17
logback-classic,[1.0.7,2.0.0),-,2016-05-26
logback-classic,[1.0.3,2.0.0),-,2016-05-26
config-admin,0.2.0,-,2012-12-17
jackson-mapper-asl,[1.9.0,2.0.0),+,2012-12-17
jackson-mapper-asl,[1.9.0,2.0.0),-,2016-05-26
