library,version,sign,date
org.apache.felix.framework,3.2.2,-,2013-06-09
junit,4.10,+,2013-04-16
junit,4.10,+,2013-06-09
junit,4.10,+,2013-02-21
junit,4.10,-,2013-06-09
skysail.server,[0.2.6-SNAPSHOT, 1.0),-,2013-03-29
skysail.server,[0.2.14-SNAPSHOT, 1.0),+,2013-04-16
skysail.server,[0.2.10, 1.0),-,2013-02-21
skysail.server,[0.2.12, 1.0),-,2013-04-16
skysail.server,[0.2.6, 1.0),-,2012-12-31
skysail.server,[0.2.12, 1.0),+,2013-02-21
skysail.server,[0.2.13-SNAPSHOT, 1.0),-,2013-06-09
skysail.server,[0.2.13-SNAPSHOT, 1.0),+,2013-02-21
skysail.server,[0.2.13, 1.0),-,2013-06-09
skysail.server,[0.2.13-SNAPSHOT, 1.0),+,2013-03-29
skysail.server,[0.2.6, 1.0),+,2012-12-30
skysail.server,[0.2.14-SNAPSHOT, 1.0),-,2013-06-09
skysail.server,[0.2.13, 1.0),+,2013-04-16
skysail.server,0.2.6,+,2012-12-31
skysail.server,[0.1.6,0.2),-,2013-04-16
skysail.server,[0.2.6-SNAPSHOT, 1.0),-,2012-12-30
skysail.server,[0.2.6-SNAPSHOT, 1.0),-,2012-12-31
skysail.server,[0.2.10, 1.0),+,2012-12-31
skysail.server,[0.3.0, 1.0),+,2013-06-09
skysail.server,[0.2.13-SNAPSHOT, 1.0),+,2013-04-16
skysail.server,[0.2.10, 1.0),-,2013-04-16
skysail.server,[0.2.13-SNAPSHOT, 1.0),-,2013-04-16
skysail.server,0.2.6,-,2013-02-21
javax.inject,1,-,2013-06-09
