library,version,sign,date
junit,3.8.2,-,2012-08-14
junit,3.8.2,-,2012-08-15
junit,3.8.2,+,2012-08-14
junit,3.8.2,+,2012-08-15
groovy-all,1.8.5,-,2012-08-14
groovy-all,1.8.5,+,2012-08-15
groovy-all,1.8.5,+,2012-08-14
weka-dev,[3.7.5,),-,2012-08-14
weka-dev,[3.7.3,),-,2012-08-14
weka-dev,[3.7.6,),-,2012-08-14
weka-dev,[3.7.2,),-,2012-08-14
weka-dev,[3.7.1,),-,2012-08-14
weka-dev,[3.7.6,),+,2012-08-14
weka-dev,[3.7.6,),+,2012-08-15
weka-dev,[3.7.2,),+,2012-08-15
weka-dev,[3.7.2,),+,2012-08-14
weka-dev,[3.7.1,),+,2012-08-14
weka-dev,[3.7.1,),+,2012-08-15
weka-dev,3.7.7-SNAPSHOT,+,2012-08-15
weka-dev,3.7.7-SNAPSHOT,+,2012-08-14
weka-dev,[3.7.5,),+,2012-08-14
weka-dev,[3.7.5,),+,2012-08-15
weka-dev,[3.7.3,),+,2012-08-15
weka-dev,[3.7.3,),+,2012-08-14
weka-dev,3.7.7-SNAPSHOT,-,2012-08-14
