library,version,sign,date
junit,4.5,+,2014-12-15
junit,3.8.2,+,2014-12-15
junit,4.5,-,2014-12-15
junit,3.8.2,-,2014-12-15
weka-dev,[3.7.6,),-,2014-12-15
weka-dev,[3.7.1,),-,2014-12-15
weka-dev,[3.7.11,),+,2014-12-15
weka-dev,[3.7.12,),-,2014-12-15
weka-dev,[3.7.8,),-,2014-12-15
weka-dev,[3.7.6,),+,2014-12-15
weka-dev,[3.7.8,),+,2014-12-15
weka-dev,[3.7.10,),+,2014-12-15
weka-dev,[3.7.11,),-,2014-12-15
weka-dev,[3.7.5,),+,2014-12-15
weka-dev,[3.7.2,),+,2014-12-15
weka-dev,[3.7.2,),-,2014-12-15
weka-dev,[3.7.10,),-,2014-12-15
weka-dev,3.7.12-SNAPSHOT,-,2014-12-15
weka-dev,[3.7.3,),+,2014-12-15
weka-dev,3.7.12-SNAPSHOT,+,2014-12-15
weka-dev,[3.7.3,),-,2014-12-15
weka-dev,[3.7.1,),+,2014-12-15
weka-dev,[3.7.5,),-,2014-12-15
weka-dev,[3.7.12,),+,2014-12-15
la4j,0.4.5,-,2014-12-15
la4j,0.4.5,+,2014-12-15
opencsv,2.3,-,2014-12-15
opencsv,2.3,+,2014-12-15
colt,1.2.0,+,2014-12-15
colt,1.2.0,-,2014-12-15
jfreechart,1.0.13,+,2014-12-15
jfreechart,1.0.13,-,2014-12-15
