library,version,sign,date
junit,4.5,+,2014-12-15
junit,3.8.2,+,2014-12-15
junit,4.5,-,2014-12-15
junit,3.8.2,-,2014-12-15
partialLeastSquares,1.0.3-SNAPSHOT,+,2014-12-15
partialLeastSquares,[1.0.0,),-,2014-12-15
partialLeastSquares,[1.0.0,),+,2014-12-15
partialLeastSquares,1.0.3-SNAPSHOT,-,2014-12-15
weka-dev,[3.7.6,),-,2014-12-15
weka-dev,[3.7.1,),-,2014-12-15
weka-dev,[3.7.11,),+,2014-12-15
weka-dev,[3.7.12,),-,2014-12-15
weka-dev,[3.7.8,),-,2014-12-15
weka-dev,[3.7.6,),+,2014-12-15
weka-dev,[3.7.8,),+,2014-12-15
weka-dev,[3.7.10,),+,2014-12-15
weka-dev,[3.7.11,),-,2014-12-15
weka-dev,[3.7.5,),+,2014-12-15
weka-dev,[3.7.2,),+,2014-12-15
weka-dev,[3.7.2,),-,2014-12-15
weka-dev,[3.7.10,),-,2014-12-15
weka-dev,3.7.12-SNAPSHOT,-,2014-12-15
weka-dev,[3.7.3,),+,2014-12-15
weka-dev,3.7.12-SNAPSHOT,+,2014-12-15
weka-dev,[3.7.3,),-,2014-12-15
weka-dev,[3.7.1,),+,2014-12-15
weka-dev,[3.7.5,),-,2014-12-15
weka-dev,[3.7.12,),+,2014-12-15
