library,version,sign,date
junit,4.5,+,2014-12-15
junit,3.8.2,+,2014-12-15
junit,4.5,-,2014-12-15
junit,3.8.2,-,2014-12-15
j3d-core-utils,[1.3.1,),-,2014-12-15
j3d-core-utils,[1.3.1,),+,2014-12-15
j3d-core,[1.3.1,),-,2014-12-15
j3d-core,[1.3.1,),+,2014-12-15
weka-dev,[3.7.6,),-,2014-12-15
weka-dev,[3.7.1,),-,2014-12-15
weka-dev,[3.7.11,),+,2014-12-15
weka-dev,[3.7.12,),-,2014-12-15
weka-dev,[3.7.8,),-,2014-12-15
weka-dev,[3.7.6,),+,2014-12-15
weka-dev,[3.7.8,),+,2014-12-15
weka-dev,[3.7.10,),+,2014-12-15
weka-dev,[3.7.11,),-,2014-12-15
weka-dev,[3.7.5,),+,2014-12-15
weka-dev,[3.7.2,),+,2014-12-15
weka-dev,[3.7.2,),-,2014-12-15
weka-dev,[3.7.10,),-,2014-12-15
weka-dev,3.7.12-SNAPSHOT,-,2014-12-15
weka-dev,[3.7.3,),+,2014-12-15
weka-dev,3.7.12-SNAPSHOT,+,2014-12-15
weka-dev,[3.7.3,),-,2014-12-15
weka-dev,[3.7.1,),+,2014-12-15
weka-dev,[3.7.5,),-,2014-12-15
weka-dev,[3.7.12,),+,2014-12-15
