library,version,sign,date
utils-dataunit-rdf,[1.1.0,2.0.0),-,2014-08-06
utils-dataunit-rdf,[1.1.0,2.0.0),+,2014-06-30
utils-dataunit-rdf,[1.1.1,2.0.0),+,2014-08-06
utils-dataunit-rdf,[1.1.1,2.0.0),-,2014-09-02
utils-dataunit-rdf,[1.1.1,1.2.0),+,2014-08-06
utils-dataunit-rdf,[1.1.1,1.2.0),-,2014-09-02
utils-dataunit-rdf,1.1.0,-,2014-08-06
utils-dataunit-rdf,[1.1.0,2.0.0),-,2014-09-02
utils-dataunit-rdf,[1.1.0,2.0.0),+,2014-08-06
utils-dataunit-rdf,1.1.0,+,2014-06-30
utils-dataunit,[1.1.1,1.2.0),+,2014-08-06
utils-dataunit,[1.1.1,1.2.0),-,2014-09-02
utils-dataunit,1.1.0,-,2014-08-06
utils-dataunit,[1.1.0,2.0.0),-,2014-09-02
utils-dataunit,[1.1.0,2.0.0),+,2014-08-06
utils-dataunit,1.1.0,+,2014-06-30
boost-dpu,[1.1.0,2.0.0),-,2014-08-06
boost-dpu,[1.1.0,2.0.0),+,2014-06-30
boost-dpu,[1.1.1,2.0.0),+,2014-08-06
boost-dpu,1.1.1,-,2014-09-08
boost-dpu,[1.1.1,1.2.0),+,2014-08-06
boost-dpu,[1.1.1,1.2.0),-,2014-09-02
boost-dpu,[1.1.0,2.0.0),-,2014-09-02
boost-dpu,[1.1.0,2.0.0),+,2014-08-06
boost-dpu,[1.1.1,2.0.0),-,2014-09-02
boost-dpu,1.1.0,-,2014-08-06
boost-dpu,1.1.0,+,2014-06-30
utils-dataunit-files,1.1.1,+,2014-08-06
utils-dataunit-files,[1.1.0,2.0.0),-,2014-09-02
utils-dataunit-files,[1.1.0,2.0.0),+,2014-08-06
service-serialization-rdf,[1.1.0,2.0.0),-,2014-08-06
service-serialization-rdf,[1.1.0,2.0.0),+,2014-06-30
service-serialization-rdf,[1.1.1,2.0.0),+,2014-08-06
service-serialization-rdf,[1.1.1,2.0.0),-,2014-09-02
service-serialization-rdf,[1.1.1,1.2.0),+,2014-08-06
service-serialization-rdf,[1.1.1,1.2.0),-,2014-09-02
service-serialization-rdf,1.1.0,-,2014-08-06
service-serialization-rdf,[1.1.0,2.0.0),-,2014-09-02
service-serialization-rdf,[1.1.0,2.0.0),+,2014-08-06
service-serialization-rdf,1.1.0,+,2014-06-30
service-serialization-xml,[1.1.0,2.0.0),-,2014-08-06
service-serialization-xml,[1.1.0,2.0.0),+,2014-06-30
service-serialization-xml,[1.1.1,2.0.0),+,2014-08-06
service-serialization-xml,[1.1.1,2.0.0),-,2014-09-02
service-serialization-xml,[1.1.1,1.2.0),+,2014-08-06
service-serialization-xml,[1.1.1,1.2.0),-,2014-09-02
service-serialization-xml,1.1.0,-,2014-08-06
service-serialization-xml,[1.1.0,2.0.0),-,2014-09-02
service-serialization-xml,[1.1.0,2.0.0),+,2014-08-06
service-serialization-xml,1.1.0,+,2014-06-30
utils-dialog,1.1.1,+,2014-09-08
